,Mean,SD,Skewness,Excess Kurtosis,RR ratio
GE,0.005432413423591396,0.017016948539506825,0.2574690484171613,0.48754752708814975,0.3192354616915845
META,0.007969074002303496,0.03160139718168482,3.238087875109837,19.90598472367599,0.2521747363411552
BKNG,0.0036872043214619594,0.015021072335874942,-0.26606972142263907,-0.10013364488373355,0.24546878139024608
WST,0.005299796325482512,0.022752096396331335,2.1063916097989366,12.591231824045977,0.2329366152974404
CPRT,0.002982258888422534,0.012880513514424449,0.26441760036011924,0.36597368256476415,0.23153260815904614
CRM,0.004941847815583786,0.02169775714834012,1.4837278431152132,5.523380440585604,0.22775846285853735
CDNS,0.0034509601305561053,0.01687349148979496,0.8237574846769904,2.0665799099475386,0.20451962373307483
LW,0.0029062837827170743,0.015021850106951864,2.6652429310741277,15.740513192667045,0.19347042887693935
OMC,0.002580949950383995,0.013343611786149066,0.3141437516239221,0.4719613656450079,0.1934221402531414
FDX,0.0036092573947379032,0.01941051715544827,1.1274234715812042,2.369889406274498,0.18594339171044874
ORCL,0.002300532144130584,0.012583325619199146,-0.04341059223631834,-0.13917945187524383,0.1828238586324526
ALGN,0.006512107279181264,0.03636395714914687,3.4175508745058916,21.308269241922876,0.1790813703929921
GEHC,0.003912058815746951,0.022274171178559204,0.8273729814840663,2.4786613833935442,0.17563207108296996
ULTA,0.001991230009129254,0.011639415859860475,-0.3371561352342119,-0.05701502390923263,0.1710764554771328
PHM,0.0030657729835047924,0.018015714031452405,1.0422896237087036,5.963644897613643,0.17017216071216876
NVDA,0.005637252645226544,0.03341620171613596,0.49054145808954075,1.7980079591369131,0.1686981869786965
TDG,0.002537442801140252,0.015352182068212107,-0.658729054309306,0.3809469588970984,0.16528222436823659
LYB,0.002406529173727261,0.015039563573239921,-0.42136211201317914,-0.23593895454836966,0.16001323190050726
XRAY,0.0034894586210730896,0.022068892951600142,0.9112684738317528,3.326399233701098,0.1581166136754531
ANET,0.0032652029778944586,0.020807209991440073,-0.08139695713546294,0.2796021247502165,0.15692651630073123
FTNT,0.0032843086548165713,0.02113534272666137,1.0902039557541525,4.924579355132541,0.15539415174344678
WYNN,0.0033009540212723364,0.021301395680214167,-0.0070361556307541335,0.6222903466380094,0.15496421318244571
AAPL,0.002375537268146123,0.01579620070796488,-0.0234278569468941,-0.23441188967098192,0.1503866222051934
ANSS,0.0030473287389538475,0.020268734453065877,1.2486570843012519,5.337249235032538,0.15034627573863668
V,0.0014846664134318423,0.010354713212821534,0.6929855174026593,0.3775139088979773,0.14338073715006236
BWA,0.0022376889792358095,0.015822650620892668,-0.35749997683912527,-0.1508801852453292,0.14142314286337732
IPG,0.0019525702421268958,0.01412988824817678,0.31233670883686154,0.28072269515779524,0.13818723883954578
SYK,0.0022280646573558517,0.01625139901785566,2.145091153844775,12.519488788840402,0.1370998678272463
BSX,0.0013732964577747048,0.010034055753992526,-0.08679724136131435,-0.24302791088327202,0.13686354664994496
NVR,0.001866275644909726,0.013876678773764084,0.3425670760467249,0.9385173316320241,0.13449008046782754
AMD,0.003968080636161034,0.030308711734874354,0.9542245525496638,2.2114566648213874,0.1309221147659407
CME,0.001625850669853062,0.01253703835256796,1.1414476026892897,2.849606000055675,0.12968379166839186
ZTS,0.0020104501172218095,0.015749983649176593,0.3278200245150572,1.116801760313212,0.1276477590074778
HCA,0.001651758022937095,0.013042194088591478,-0.47841382776260916,0.9949540510462134,0.12664725058661358
SNPS,0.002029564364711656,0.0161103264399792,-0.12083693578712965,0.8246761893655989,0.12597909621962175
DOW,0.0017759115449657724,0.014422145711047064,-0.33456947692783606,-0.16299047388274746,0.1231378173918643
MSI,0.00158836294885122,0.013208819557446693,0.8733015785203545,2.8381563951188777,0.12025018147482784
WBD,0.003958433990289741,0.03294100734351186,0.21715262407301758,-0.2025692916055224,0.12016736309885204
CMG,0.001923340817758754,0.016114644582058666,-0.5615194973279224,0.490665807321804,0.11935359839708266
STX,0.0027788980455850996,0.023385709051487655,1.2373419555787075,3.418032429593948,0.11882889842967251
FLT,0.0023695500569021143,0.020248193753926922,0.2985972492927966,0.42301243675220856,0.1170252559659829
TTWO,0.0023594981316380974,0.020250325757680286,0.6308527276947518,2.087233101382017,0.11651655187537993
HOLX,0.0014180321536735113,0.0122582954670506,-0.025700904778022095,0.5148303729214447,0.11567939094673299
LVS,0.002223361141350351,0.01924530710232613,0.021409431647250125,1.2285416241788338,0.11552744414671456
FICO,0.0019057179734825972,0.01681375744090639,0.07700587636857946,0.10181080325504288,0.11334277779255655
HSY,0.0011694265947279241,0.010378284183687497,-0.18216305835920746,4.934139511594982,0.11268014770360782
FISV,0.0019789811107145195,0.017733900141819126,0.5628929447974846,7.681842211881279,0.111593112337866
MGM,0.002275286415087438,0.020668443240306693,0.5074788893206228,1.398296318858515,0.11008504068899945
PNR,0.0021954804408128087,0.020258984943845662,0.814465004316608,3.0671596154640435,0.10837070301884787
COO,0.0017594519931811632,0.01660662590059155,0.6956791618897199,2.39370327104625,0.10594879439769214
AZO,0.0013841549768468123,0.013111725834291845,-0.26510907800218303,-0.08908491859385714,0.1055661927605863
FSLR,0.003308392073743925,0.03194873570327822,1.0239285074508857,4.311945874833964,0.10355314540363658
PWR,0.0016997259414291634,0.01642628429418033,0.987372025288983,4.12769633260793,0.10347598464683577
ACGL,0.0017937435307802119,0.017468401976271874,-0.9926553175128436,4.154679099840003,0.10268503857517908
CBOE,0.0011952786238985178,0.011668029408877626,0.14789933297357247,-0.32866996520747493,0.10244048776471967
DVA,0.0017286181216296843,0.01688088882634918,-0.5299062427198601,1.0393688739563451,0.10240089484692919
MPWR,0.0030857487224057634,0.030366082436396446,0.5124378215061723,0.18501016728682051,0.10161826863471923
ZBRA,0.0023257344508445022,0.023072897258438325,0.25575242637277845,-0.09000245455647438,0.10079941087562916
T,0.001290095786802388,0.012882676197965785,1.063390601364082,6.095222937701512,0.10014190894638011
GOOGL,0.002232526766326244,0.022933435430358997,-0.09170655688471478,1.6545102060715111,0.09734811747265971
GOOG,0.0022531396757247916,0.02315567207361155,-0.04128472144517324,1.3994296142198843,0.09730400692159108
ADI,0.0016205480636665474,0.016710243933402334,0.861037516962767,3.0260429029089737,0.09697931820296242
ORLY,0.0012370038899842863,0.01281870888919266,-0.1036477353856462,0.6227757101042446,0.09649988159316054
AVGO,0.001482704807612917,0.015436542912737472,1.2410140508437213,2.5144550765713216,0.09605161051892404
ECL,0.0016069725018510149,0.016751661509327234,0.5359335297354706,2.5324332442198765,0.09592914117541483
MSFT,0.001746787209055846,0.01834057931403575,0.1721597458992962,-0.25697351624711695,0.09524165944524215
HPQ,0.0014140007108409544,0.014847160550240827,0.051558092202960704,0.19739801713614513,0.09523711325516843
NKE,0.001875184705348404,0.019708126069490114,2.1158545691665362,12.856171571384259,0.09514779328773182
ATVI,0.0013608971422374434,0.014419119178249382,0.6351961185194328,6.197727483018999,0.0943814338042436
AOS,0.0021225724837824218,0.022567716709611,2.0275314575558583,11.151757132762494,0.0940534884895322
CMCSA,0.0013308632024210988,0.014153321264572883,-0.16034277396436653,-0.4094741374106028,0.09403186556305881
DRI,0.0009997293048644746,0.01065507569215896,-0.04507110990276365,-0.7430481541520169,0.09382657934567021
MU,0.002339798487816068,0.02548728310345556,0.8671990206915431,0.8718481074563584,0.09180258556075123
GWW,0.001859486690415645,0.020291060547852686,2.3205086999723625,14.52463180379273,0.09164068511995181
INTC,0.002136131986998138,0.023372976594992472,0.08928344289194685,1.1737686774335865,0.09139323689973626
EW,0.0016929367198262016,0.018555309966287195,0.09001085963072035,0.6850743532678902,0.0912373182071368
REGN,0.0015535233480125294,0.017082090574161973,-0.672806017854517,7.843264429075604,0.09094456801220559
RL,0.0016429132015239837,0.01818984456948978,0.2326032939150974,0.13760474143245816,0.09032035404412843
PARA,0.0026241431436321116,0.029099492472110373,0.440943850920674,0.12121001982775503,0.09017831311481295
TPR,0.0015894671185471975,0.01764787297660722,-0.5163928364418431,0.03904578534912018,0.09006564817494342
IDXX,0.0018489678921304962,0.0205665091878,0.34985506515899445,0.5287535742226481,0.08990188248510832
MPC,0.0021111785445429242,0.023512648614747368,-0.3021619428342556,0.8042428486914215,0.089789056908662
HWM,0.0014281780071314478,0.015918537552867595,-0.23442315917480358,0.31539888787334114,0.08971791550500649
SWKS,0.0020521912433626196,0.023157246898039493,1.8018007423724585,6.882391227034865,0.08861982827226147
TSCO,0.0013632276190336217,0.015551980559666109,0.32877184431485207,1.6581842056350453,0.08765620647502208
CHD,0.0010497147618766934,0.012020653269695366,0.39891761137447074,1.330986346465851,0.08732593298594461
LEN,0.0013750454753095071,0.01574733810955103,0.012893067395270989,-0.42165713965068274,0.08731923235175337
FAST,0.0013795733328709923,0.01596225744632696,0.6927624893100185,2.6812797613580157,0.08642720727377086
ON,0.002379570974121692,0.027614472288791558,0.31107568687736675,-0.6095074047076201,0.08617115508260269
MCD,0.0008309350681089058,0.009756428217999215,-0.16597751439001845,0.7164837697233524,0.08516795793935626
MSCI,0.0015705665804066516,0.018713642677469663,0.3704189796475768,-0.3963178510747931,0.08392628882978188
